week,Weight,Treatment
9,20,OVX
9,20.8,OVX
9,20.2,OVX
9,18.8,OVX
9,19.2,OVX
9,18.2,OVX
9,21.8,OVX
9,19.8,OVX
9,19.6,OVX
9,19.3,OVX
9,20.2,OVX
9,17.5,OVX
9,18.9,SHAM
9,18.3,SHAM
9,20,SHAM
9,21.5,SHAM
9,18.9,SHAM
9,18.8,SHAM
9,18.9,SHAM
9,17,SHAM
9,21,SHAM
9,18.4,SHAM
9,18.3,SHAM
9,17.6,SHAM
9,18.4,CYCLING
9,16.6,CYCLING
9,20.3,CYCLING
9,18.8,CYCLING
9,21.5,CYCLING
9,18.3,CYCLING
9,20.5,CYCLING
9,18.8,CYCLING
9,20.7,CYCLING
9,16.9,CYCLING
9,19.4,CYCLING
9,19.4,CYCLING
9,20.8,CYCLING
9,18.2,CYCLING
9,19.6,CYCLING
9,20.2,CYCLING
9,19.8,CYCLING
9,19.6,CYCLING
9,20.2,CYCLING
9,19.4,CYCLING
9,20.9,CYCLING
9,19.8,CYCLING
9,19.2,CYCLING
9,18.7,CYCLING
9,21.8,CYCLING
9,20.3,CYCLING
9,21.1,CYCLING
9,18.5,CYCLING
9,18.4,CYCLING
9,18.5,CYCLING
9,20.5,CYCLING
9,20.7,CYCLING
9,17.6,CYCLING
9,19.4,CYCLING
9,18.5,CYCLING
9,18.5,CYCLING
9,19.1,CYCLING
9,17.8,CYCLING
9,18.5,CYCLING
9,21.7,CYCLING
10,21.1,OVX
10,22.6,OVX
10,21,OVX
10,20.7,OVX
10,21.1,OVX
10,20.3,OVX
10,23.2,OVX
10,22.8,OVX
10,21.6,OVX
10,21.6,OVX
10,22.8,OVX
10,20.3,OVX
10,18.6,SHAM
10,19,SHAM
10,20.5,SHAM
10,21.6,SHAM
10,18.8,SHAM
10,19.1,SHAM
10,19.2,SHAM
10,17.2,SHAM
10,21.6,SHAM
10,18.9,SHAM
10,18.5,SHAM
10,18.5,SHAM
10,19.6,CYCLING
10,17,CYCLING
10,21,CYCLING
10,19.3,CYCLING
10,21.5,CYCLING
10,18.7,CYCLING
10,21,CYCLING
10,19.2,CYCLING
10,20.9,CYCLING
10,17.8,CYCLING
10,19.5,CYCLING
10,19.9,CYCLING
10,21.3,CYCLING
10,18.7,CYCLING
10,20.3,CYCLING
10,20.6,CYCLING
10,20.8,CYCLING
10,20.5,CYCLING
10,21.3,CYCLING
10,20.3,CYCLING
10,19.8,CYCLING
10,19.6,CYCLING
10,18.9,CYCLING
10,19,CYCLING
10,21.1,CYCLING
10,20.6,CYCLING
10,21.6,CYCLING
10,18,CYCLING
10,18.2,CYCLING
10,18.7,CYCLING
10,19.6,CYCLING
10,21.1,CYCLING
10,18.3,CYCLING
10,19.4,CYCLING
10,18.8,CYCLING
10,18.9,CYCLING
10,19.8,CYCLING
10,17.8,CYCLING
10,18.8,CYCLING
10,20.9,CYCLING
11,20.2,OVX
11,23.5,OVX
11,22.9,OVX
11,21.3,OVX
11,21.4,OVX
11,21.6,OVX
11,24,OVX
11,24.7,OVX
11,21.6,OVX
11,22,OVX
11,23.4,OVX
11,20.6,OVX
11,18.9,SHAM
11,18.2,SHAM
11,20.5,SHAM
11,21.4,SHAM
11,19.3,SHAM
11,19.3,SHAM
11,19.1,SHAM
11,17.6,SHAM
11,21.8,SHAM
11,19.2,SHAM
11,18.8,SHAM
11,18.3,SHAM
11,19.7,CYCLING
11,17,CYCLING
11,21.3,CYCLING
11,19.7,CYCLING
11,21.6,CYCLING
11,19.2,CYCLING
11,21.3,CYCLING
11,19.3,CYCLING
11,20.9,CYCLING
11,17.6,CYCLING
11,19.7,CYCLING
11,19.4,CYCLING
11,21.2,CYCLING
11,18.4,CYCLING
11,20.2,CYCLING
11,20.6,CYCLING
11,20.3,CYCLING
11,20.2,CYCLING
11,21.1,CYCLING
11,20.6,CYCLING
11,19.8,CYCLING
11,19.5,CYCLING
11,19.2,CYCLING
11,19,CYCLING
11,20.9,CYCLING
11,21.2,CYCLING
11,21.6,CYCLING
11,17.5,CYCLING
11,18.3,CYCLING
11,19.4,CYCLING
11,19.9,CYCLING
11,21,CYCLING
11,18.1,CYCLING
11,19,CYCLING
11,18.8,CYCLING
11,18.9,CYCLING
11,19.8,CYCLING
11,17.8,CYCLING
11,18.7,CYCLING
11,21.2,CYCLING
12,20.3,OVX
12,23.6,OVX
12,23.5,OVX
12,21.3,OVX
12,21.4,OVX
12,21,OVX
12,24.7,OVX
12,25.1,OVX
12,21.1,OVX
12,22,OVX
12,23,OVX
12,20,OVX
12,18.9,SHAM
12,19.2,SHAM
12,20,SHAM
12,21.7,SHAM
12,19.1,SHAM
12,19.7,SHAM
12,18.7,SHAM
