R_weight,Treatment,Groups
100,OVX,Die
100,OVX,Die
100,OVX,Die
100,OVX,Die
100,OVX,Die
100,OVX,Die
100,OVX,Die
100,OVX,Die
100,OVX,Die
100,OVX,Die
100,OVX,Die
100,OVX,Die
100,SHAM,Die
100,SHAM,Die
100,SHAM,Die
100,SHAM,Die
100,SHAM,Die
100,SHAM,Die
100,SHAM,Die
100,SHAM,Die
100,SHAM,Die
100,SHAM,Die
100,SHAM,Die
100,SHAM,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
100,CYCLING,Die
101.369863,OVX,Pro
101.8518519,OVX,Pro
100,OVX,Pro
100,OVX,Pro
100,OVX,Pro
100.9345794,OVX,Pro
100,OVX,Pro
100,OVX,Pro
101.793722,OVX,Pro
99.1416309,OVX,Pro
100,OVX,Pro
99.04761905,OVX,Pro
102.4630542,SHAM,Pro
100.9708738,SHAM,Pro
101.8604651,SHAM,Pro
100.8658009,SHAM,Pro
101.4285714,SHAM,Pro
103.3816425,SHAM,Pro
100.4807692,SHAM,Pro
102.6455026,SHAM,Pro
100.9433962,SHAM,Pro
101.4778325,SHAM,Pro
102.020202,SHAM,Pro
102.2222222,SHAM,Pro
100.4901961,CYCLING,Pro
102.7173913,CYCLING,Pro
101.3452915,CYCLING,Pro
101.4778325,CYCLING,Pro
102.8037383,CYCLING,Pro
103.6082474,CYCLING,Pro
102.3584906,CYCLING,Pro
100.990099,CYCLING,Pro
100.8888889,CYCLING,Pro
101.1494253,CYCLING,Pro
102.5641026,CYCLING,Pro
101.9047619,CYCLING,Pro
100.9345794,CYCLING,Pro
102.283105,OVX,Est
103.7037037,OVX,Est
100,OVX,Est
99.55156951,OVX,Est
100.9174312,OVX,Est
100.4672897,OVX,Est
101.5625,OVX,Est
99.63768116,OVX,Est
101.793722,OVX,Est
100,OVX,Est
100.4016064,OVX,Est
101.4285714,OVX,Est
100,SHAM,Est
98.05825243,SHAM,Est
97.6744186,SHAM,Est
99.13419913,SHAM,Est
99.52380952,SHAM,Est
98.55072464,SHAM,Est
99.03846154,SHAM,Est
99.47089947,SHAM,Est
99.05660377,SHAM,Est
98.52216749,SHAM,Est
98.98989899,SHAM,Est
97.77777778,SHAM,Est
97.54901961,CYCLING,Est
98.91304348,CYCLING,Est
96.86098655,CYCLING,Est
99.50738916,CYCLING,Est
99.06542056,CYCLING,Est
98.96907216,CYCLING,Est
98.11320755,CYCLING,Est
98.51485149,CYCLING,Est
98.66666667,CYCLING,Est
97.70114943,CYCLING,Est
98.97435897,CYCLING,Est
97.14285714,CYCLING,Est
99.06542056,CYCLING,Est
102.283105,OVX,Met
103.7037037,OVX,Met
100,OVX,Met
100,OVX,Met
100.9174312,OVX,Met
100.9345794,OVX,Met
101.5625,OVX,Met
100,OVX,Met
101.793722,OVX,Met
100,OVX,Met
100.4016064,OVX,Met
101.4285714,OVX,Met
100.9852217,SHAM,Met
100,SHAM,Met
98.60465116,SHAM,Met
99.56709957,SHAM,Met
100.4761905,SHAM,Met
100,SHAM,Met
100,SHAM,Met
100,SHAM,Met
99.52830189,SHAM,Met
100,SHAM,Met
99.49494949,SHAM,Met
100,SHAM,Met
99.01960784,CYCLING,Met
100,CYCLING,Met
98.65470852,CYCLING,Met
100,CYCLING,Met
99.53271028,CYCLING,Met
99.48453608,CYCLING,Met
100,CYCLING,Met
100,CYCLING,Met
99.55555556,CYCLING,Met
98.85057471,CYCLING,Met
99.48717949,CYCLING,Met
99.52380952,CYCLING,Met
100,CYCLING,Met
