Weight,Phase
99.92313605,D1
89.93082244,D1
109.415834,D1
99.42352037,D1
104.9192929,D1
94.92697925,D1
103.9200615,D1
98.92390469,D1
110.4150653,D1
84.93466564,D1
95.42659493,D1
102.9208301,D1
104.9192929,D1
100.4227517,D1
92.42890085,D1
110.914681,D1
100.9223674,D1
107.9169869,D1
98.42428901,D1
106.4181399,D1
99.92313605,D1
111.4142967,D1
85.933897,D1
97.92467333,D1
104.9192929,D1
105.9185242,D1
100.4227517,P1
92.42890085,P1
110.914681,P1
100.9223674,P1
107.9169869,P1
98.42428901,P1
106.4181399,P1
99.92313605,P1
111.4142967,P1
85.933897,P1
97.92467333,P1
104.9192929,P1
105.9185242,P1
97.42505765,E1
88.93159108,E1
105.9185242,E1
98.92390469,E1
103.9200615,E1
93.92774789,E1
101.9215988,E1
97.42505765,E1
108.9162183,E1
82.93620292,E1
94.42736357,E1
99.92313605,E1
103.9200615,E1
100.4227517,M1
89.93082244,M1
107.9169869,M1
99.42352037,M1
104.4196772,M1
94.42736357,M1
103.9200615,M1
98.92390469,M1
109.9154497,M1
83.93543428,M1
94.92697925,M1
102.4212145,M1
104.9192929,M1
99.9238965,D2
90.0304414,D2
109.3226788,D2
99.42922374,D2
104.870624,D2
94.97716895,D2
103.8812785,D2
98.93455099,D2
110.3120244,D2
85.08371385,D2
95.4718417,D2
102.891933,D2
104.870624,D2
100.4185693,P2
92.50380518,P2
110.8066971,P2
100.913242,P2
107.8386606,P2
98.43987823,P2
106.3546423,P2
99.9238965,P2
111.3013699,P2
86.07305936,P2
97.94520548,P2
104.870624,P2
105.8599696,P2
97.45053272,E2
89.04109589,E2
105.8599696,E2
98.93455099,E2
103.8812785,E2
93.98782344,E2
101.9025875,E2
97.45053272,E2
108.8280061,E2
83.10502283,E2
94.48249619,E2
99.9238965,E2
103.8812785,E2
99.9238965,M2
90.0304414,M2
107.8386606,M2
99.42922374,M2
104.3759513,M2
94.48249619,M2
103.8812785,M2
98.93455099,M2
109.8173516,M2
84.09436834,M2
94.97716895,M2
102.3972603,M2
104.870624,M2
99.92464205,D3
90.12810852,D3
109.2313489,D3
99.43481537,D3
104.8229088,D3
95.02637528,D3
103.8432555,D3
98.9449887,D3
110.2110023,D3
85.22984175,D3
95.51620196,D3
102.8636021,D3
104.8229088,D3
100.4144687,P3
92.5772419,P3
110.7008289,P3
100.9042954,P3
107.7618689,P3
98.45516202,P3
106.2923888,P3
99.92464205,P3
111.1906556,P3
86.2094951,P3
97.96533534,P3
104.8229088,P3
105.8025622,P3
97.47550867,E3
89.14845516,E3
105.8025622,E3
98.9449887,E3
103.8432555,E3
94.04672193,E3
101.8839488,E3
97.47550867,E3
108.7415222,E3
83.27053504,E3
94.53654861,E3
99.92464205,E3
103.8432555,E3
98.9449887,M3
90.12810852,M3
107.7618689,M3
99.43481537,M3
104.3330821,M3
94.53654861,M3
103.8432555,M3
98.9449887,M3
109.7211756,M3
84.25018839,M3
95.02637528,M3
102.3737754,M3
104.8229088,M3
